"lineage","country","year_first","year_last","n_seqs","parent"
"Asian SEA4_B1.4.1","Philippines","2007","2022",37,"Asian SEA4_B1.4"
"Asian SEA4_B1.2","Philippines","2007","2022",11,"Asian SEA4_B1"
"Asian SEA4_A1.3","Philippines","1998","2019",8,"Asian SEA4_A1"
"Asian SEA4_C1","Philippines","2018","2023",10,"Asian SEA4_B1.4.1"
"Asian SEA4_B1.1.1","Philippines","2013","2020",13,"Asian SEA4_B1.1"
"Asian SEA4_A1.3.1","Philippines","1994","2017",13,"Asian SEA4_A1.3"
"Asian SEA4_C1.1","Philippines","2022","2023",14,"Asian SEA4_C1"
"Asian SEA4_A1.2.1","c(""Japan"", ""Philippines"")","1994","2020",6,"Asian SEA4_A1.2"
"Asian SEA4_B1","Philippines","1994","2016",6,"Asian SEA4_A1.2.1"
"Asian SEA4_D1","Philippines","2006","2022",6,"Asian SEA4_A1.1.2"
"Asian SEA4_B1.4","Philippines","1998","2022",7,"Asian SEA4_B1"
