"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"4A-22-203","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-23-03","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-23-04","Asian SEA4_A1.1.1","Philippines",2012,2016
"Z-22-121","Asian SEA4_A1.1.1","Philippines",2012,2016
"4A-22-171","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-126","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-421","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21622","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-2922HM","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-114","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-423","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-29","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-28","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-30","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-13","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-20","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-40","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-16","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-35","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-2922JG","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-17","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-21","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-310","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-35","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-412","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-21-528","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-15","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-2422","Asian SEA4_A1.1.1","Philippines",2012,2016
"H-23-011Sk12","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-31","Asian SEA4_A1.1.1","Philippines",2012,2016
"4A-22-104","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-37","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-39","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-44","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-45","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-06","Asian SEA4_A1.2","Philippines",2012,2019
"Z-22-103","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-41","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-42","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-13","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-01","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-02","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-15","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-07","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-19","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-17","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-05","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-16","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-11","Asian SEA4_A1.2","Philippines",2012,2019
"4A-22-40","Asian SEA4_A1.2","Philippines",2012,2019
"4A-22-98","Asian SEA4_A1.2","Philippines",2012,2019
"H-23-011Sa11","Asian SEA4_A1.2","Philippines",2012,2019
