"lineage","country","year_first","year_last","n_seqs"
"Cosmopolitan AF1b_A1","Tanzania",2009,2017,7
"Cosmopolitan AF1b_A1.1","Tanzania",2003,2011,4
"Cosmopolitan AF1b_A1.1.1","Tanzania",2004,2018,13
"Cosmopolitan AF1b_A1.1.2","Tanzania",2008,2013,13
"Cosmopolitan AF1b_B1","Tanzania",2010,2013,7
"Cosmopolitan AF1b_B1.1","Tanzania",2011,2018,10
"Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013,35
"Cosmopolitan AF1b_C1","Tanzania",1996,2017,38
"Cosmopolitan AF1b_C1.1","Tanzania",2010,2013,23
"Cosmopolitan AF1b_D1","Tanzania",2010,2013,21
"Cosmopolitan AF1b_E1","Tanzania",2011,2017,28
