"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"cD1175","Africa-2_A1.1","Senegal",1991,2011
"cD31","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD484","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R1175","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R31","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R484","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R246","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"TB246","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WB246","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"TBS246","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WBS246","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"CD8","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R97","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"TB430","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R1298","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R51","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"CD3","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R317","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R960","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD466","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WB466","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R466","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WBS466","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WB1175","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WB809","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"WBS1175","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R62","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD483","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R483","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"R665","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD35","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD810","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"CD275","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
"cD809","Africa-2_B1","c(""Mauritania"", ""Senegal"")",1986,2007
