ID,country,year,assignment,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
R5-21-136,Philippines,2021,Asian SEA4,2/12/2021,-,Libon,Albay,13.24707931,123.3705704,Canis familiaris,Domestic Dog,,,
R5-22-09,Philippines,2022,Asian SEA4,7/2/2022,Bauud,Malilipot,Albay,13.30206264,123.724162,Felis catus,Cat,,,
R5-21-132,Philippines,2021,Asian SEA4,15/11/2021,Labnig,Malinao,Albay,13.3845747,123.6522757,Canis familiaris,Domestic Dog,,,
R5-22-008,Philippines,2022,Asian SEA4,2/2/2022,Sto. Cristo,Tabaco,Albay,13.32537797,123.668741,Canis familiaris,Domestic Dog,,,
R6-21-4511,Philippines,2021,Asian SEA4,8/10/2021,San Isidro,Tibiao,Antique,11.31177392,122.0839795,Canis familiaris,Domestic Dog,,,
RADDL3-1045,Philippines,2015,Asian SEA4,23/10/2015,St. Francis ,Limay,Bataan,14.53878982,120.5544428,Canis familiaris,Domestic Dog,,,
4A-22-40,Philippines,2022,Asian SEA4,10/1/2022,-,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-06-150,Philippines,2006,Asian SEA4,24/4/2006,Balete,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-13-065,Philippines,2013,Asian SEA4,4/4/2013,Dumuclay North,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-13-171,Philippines,2013,Asian SEA4,5/8/2013,Pinamocan Silangan,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-13-184,Philippines,2013,Asian SEA4,29/8/2013,Tabangaw,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-06-295,Philippines,2006,Asian SEA4,22/7/2006,Lucsuhin,Calatagan,Batangas,13.86384068,120.6585868,Canis familiaris,Domestic Dog,,,
Z-14-098,Philippines,2014,Asian SEA4,29/4/2014,Dita,Cuenca,Batangas,13.90952328,121.0537657,Canis familiaris,Domestic Dog,,,
4A-22-104,Philippines,2022,Asian SEA4,25/1/2022,Sabang,Lipa,Batangas,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,,
Z-07-366,Philippines,2007,Asian SEA4,12/11/2007,Timbol,Lipa  ,Batangas,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,,
Z-19-029,Philippines,2019,Asian SEA4,26/2/2019,Antipolo Del Sur,Lipa  ,Batangas,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,,
Z-18-114,Philippines,2018,Asian SEA4,28/5/2018,Banay-Banay 1St,San Jose,Batangas,13.87787315,121.0901132,Canis familiaris,Domestic Dog,,,
Z-98-718,Philippines,1998,Asian SEA4,13/7/1998,Maraykid,San Juan,Batangas,13.75727426,121.3908944,Canis familiaris,Domestic Dog,,,
Z-17-046,Philippines,2017,Asian SEA4,6/3/2017,Bgy. San Fernando,Sto. Tomas,Batangas,14.07637376,121.1824598,Canis familiaris,Domestic Dog,,,
Z-06-39,Philippines,2006,Asian SEA4,26/1/2006,Ambulong,Tanauan  ,Batangas,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,,
Z-12-012,Philippines,2012,Asian SEA4,16/1/2012,Sulpoc,Tanauan  ,Batangas,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,,
R10-907,Philippines,2021,Asian SEA4,25/10/2021,Gango,Libona,Bukidnon,8.327601426,124.7570432,Canis familiaris,Domestic Dog,,,
R10-688,Philippines,2021,Asian SEA4,2/7/2021,,Malaybalay,Bukidnon,8.160681669,125.1787735,Canis familiaris,Domestic Dog,,,
Z-18-159,Philippines,2018,Asian SEA4,19/7/2018,Sta. Cruz,Guiginto,Bulacan,14.83746463,120.8923363,Canis familiaris,Domestic Dog,,,
RADDL3-16-627,Philippines,2016,Asian SEA4,27/7/2016,Ligas,Malolos,Bulacan,14.82958643,120.8367451,Canis familiaris,Domestic Dog,,,
Z-14-182,Philippines,2014,Asian SEA4,20/8/2014,San Francisco,Pulilan,Bulacan,14.91386664,120.8556301,Canis familiaris,Domestic Dog,,,
Z-98-616,Philippines,1998,Asian SEA4,18/6/1998,-,San Miguel,Bulacan,15.17310142,121.0401182,Canis familiaris,Domestic Dog,,,
R2-081,Philippines,2020,Asian SEA4,31/8/2020,Ugac Norte,Tuguegarao  ,Cagayan,17.60612446,121.7593619,Canis familiaris,Domestic Dog,,,
R5-21-140,Philippines,2021,Asian SEA4,10/12/2021,Calang Calawan,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,,
R5-21-115,Philippines,2021,Asian SEA4,28/9/2021,Pob. III,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,,
RADDL5-005,Philippines,2015,Asian SEA4,30/1/2015,San Nicolas,Iriga  ,Camarines Sur,13.44838237,123.4332975,Canis familiaris,Domestic Dog,,,
R5-21-128,Philippines,2021,Asian SEA4,9/11/2021,Cararayan,Naga,Camarines Sur,13.64368803,123.2594656,Canis familiaris,Domestic Dog,,,
Z-07-22,Philippines,2007,Asian SEA4,23/1/2007,Dagatan,Amadeo,Cavite,14.187281,120.9251442,Canis familiaris,Domestic Dog,,,
Z-07-38,Philippines,2007,Asian SEA4,2/5/2007,Molino 6,Bacoor,Cavite,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,,
Z-15-163,Philippines,2015,Asian SEA4,5/9/2015,Panapaan 8,Bacoor  ,Cavite,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,,
Z-18-001,Philippines,2018,Asian SEA4,2/1/2018,"Andrea Vill. I, Panapaan Vi",Bacoor  ,Cavite,14.41614393,120.9704734,Felis catus,Cat,,,
Z-20-01,Philippines,2020,Asian SEA4,3/1/2020,"Meadowood Subd.,Panapaan 8",Bacoor  ,Cavite,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,,
Z-16-151,Philippines,2016,Asian SEA4,5/9/2016,-,Carmona,Cavite,14.29896527,121.0371349,Canis familiaris,Domestic Dog,,,
Z-13-259,Philippines,2013,Asian SEA4,18/12/2013,  Pound,Cavite  ,Cavite,14.48021461,120.8978023,Canis familiaris,Domestic Dog,,,
Z-14-106,Philippines,2014,Asian SEA4,8/5/2014,Sta. Cruz,Cavite  ,Cavite,14.48021461,120.8978023,Felis catus,Cat,,,
98-134,Philippines,1998,Asian SEA4,9/2/1998,Sampaloc   Homes,Dasmarinas,Cavite,14.31850325,120.9657797,Canis familiaris,Domestic Dog,,,
Z-16-196,Philippines,2016,Asian SEA4,23/11/2016,Sampaloc,Dasmarinas  ,Cavite,14.31850325,120.9657797,Canis familiaris,Domestic Dog,,,
4A-22-171,Philippines,2022,Asian SEA4,6/2/2022,Buenavista,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,,
Z-07-07,Philippines,2007,Asian SEA4,8/1/2007,Tierra Nevada,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,,
Z-07-222,Philippines,2007,Asian SEA4,30/6/2007,-,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,,
