ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
153,Philippines,2018,unknown,Paulog,Ligao,Albay,Bicol Region,13.18230598,123.4944229,Canis familiaris,17/05/2018
4A-22-104,Philippines,2022,Asian SEA4_A1.2,Sabang,Lipa,Batangas,Calabarzon,13.94086577,121.1746864,Canis familiaris,25/01/2022
4A-22-171,Philippines,2022,Asian SEA4_B1.1.1,Buenavista,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,06/02/2022
4A-22-203,Philippines,2022,Asian SEA4_A1.1.2,Guiang-Guiang,Lucena ,Quezon,Calabarzon,13.93834754,121.6153593,Canis familiaris,11/02/2022
4A-22-40,Philippines,2022,Asian SEA4_B1.1,-,Batangas  ,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,10/01/2022
4A-22-98,Philippines,2022,Asian SEA4_B1.1,Baguio,Tayabas,Quezon,Calabarzon,14.04055469,121.6122459,Canis familiaris,22/01/2022
4B-21-126,Philippines,2021,Asian SEA4_A1.1.2,Sapul,Calapan ,Oriental Mindoro,Southwestern Tagalog Region,13.33178512,121.1780294,Canis familiaris,26/01/2021
4B-21-29,Philippines,2021,Asian SEA4_A1.1.2,San Narciso ,Victoria ,Oriental Mindoro,Southwestern Tagalog Region,13.14368391,121.2438544,Canis familiaris,09/02/2021
4B-21-310,Philippines,2021,Asian SEA4_A1.1.2,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region,13.39217641,120.8953101,Canis familiaris,10/03/2021
4B-21-35,Philippines,2021,Asian SEA4_A1.1.2,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region,13.39217641,120.8953101,Canis familiaris,05/03/2021
4B-21-412,Philippines,2021,Asian SEA4_A1.1.2,Sto Nino,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region,13.39217641,120.8953101,Canis familiaris,12/04/2021
4B-21-421,Philippines,2021,Asian SEA4_A1.1.2,Malapad,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,14/04/2021
4B-21-423,Philippines,2021,Asian SEA4_A1.1.2,Camilmil,Calapan ,Oriental Mindoro,Southwestern Tagalog Region,13.33178512,121.1780294,Canis familiaris,23/04/2021
4B-21-528,Philippines,2021,Asian SEA4_A1.1.2,Aninuan,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region,13.39217641,120.8953101,Canis familiaris,28/05/2021
4B-21622,Philippines,2022,Asian SEA4_A1.1.2,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,16/02/2022
4B-22-114,Philippines,2022,Asian SEA4_A1.1.2,Mayabig,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,14/01/2022
4B-22-13,Philippines,2022,Asian SEA4_A1.2,Teresita,Mansalay,Oriental Mindoro,Southwestern Tagalog Region,12.54836969,121.3482134,Canis familiaris,22/04/2022
4B-22-15,Philippines,2022,Asian SEA4_A1.1.2,San Isidro,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region,13.39217641,120.8953101,Canis familiaris,05/01/2022
4B-22-16,Philippines,2022,Asian SEA4_A1.2,Orcenuma,Bongabong,Oriental Mindoro,Southwestern Tagalog Region,12.71623574,121.3862303,Canis familiaris,28/04/2022
4B-22-17,Philippines,2022,Asian SEA4_A1.2,Narra,Gloria,Oriental Mindoro,Southwestern Tagalog Region,12.92166054,121.3754507,Canis familiaris,08/05/2022
4B-22-20,Philippines,2022,Asian SEA4_A1.2,Don Pedro,Mansalay,Oriental Mindoro,Southwestern Tagalog Region,12.54836969,121.3482134,Canis familiaris,19/05/2022
4B-22-21,Philippines,2022,Asian SEA4_A1.2,Panggulayan,Pinamalayan,Oriental Mindoro,Southwestern Tagalog Region,13.02301767,121.4031803,Canis familiaris,31/05/2022
4B-22-28,Philippines,2022,Asian SEA4_A1.1.2,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,27/07/2022
4B-22-30,Philippines,2022,Asian SEA4_A1.1.2,Bangkatan,Baco,Oriental Mindoro,Southwestern Tagalog Region,13.29039427,121.066837,Canis familiaris,12/08/2022
4B-22-31,Philippines,2022,Asian SEA4_A1.2,Bayanan,Pola,Oriental Mindoro,Southwestern Tagalog Region,13.13990357,121.4449478,Canis familiaris,18/08/2022
4B-22-35,Philippines,2022,Asian SEA4_A1.2,Bagumbayan,Roxas,Oriental Mindoro,Southwestern Tagalog Region,12.61737051,121.4554967,Canis familiaris,25/10/2022
4B-22-37,Philippines,2022,Asian SEA4_A1.2,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region,12.29784708,122.054934,Canis familiaris,01/10/2022
4B-22-39,Philippines,2022,Asian SEA4_A1.2,San Isidro,Alcantara,Romblon,Southwestern Tagalog Region,12.29784708,122.054934,Canis familiaris,21/10/2022
4B-22-40,Philippines,2022,Asian SEA4_A1.2,Balugo,Mansalay,Oriental Mindoro,Southwestern Tagalog Region,12.54836969,121.3482134,Canis familiaris,02/12/2022
4B-22-41,Philippines,2022,Asian SEA4_A1.2,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,24/11/2022
4B-22-42,Philippines,2022,Asian SEA4_A1.2,Bonlao,Alcantara,Romblon,Southwestern Tagalog Region,12.29784708,122.054934,Canis familiaris,26/11/2022
4B-22-44,Philippines,2022,Asian SEA4_A1.2,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,11/12/2022
4B-22-45,Philippines,2022,Asian SEA4_A1.2,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,12/12/2022
4B-23-01,Philippines,2023,Asian SEA4_A1.2,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,20/01/2023
4B-23-02,Philippines,2023,Asian SEA4_A1.2,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,13/01/2023
4B-23-03,Philippines,2023,Asian SEA4_A1.1.2,Sugod,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,22/01/2023
4B-23-04,Philippines,2023,Asian SEA4_A1.1.2,Carmen,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,31/01/2023
4B-23-05,Philippines,2023,Asian SEA4_A1.2,Sugod,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,20/01/2023
4B-23-06,Philippines,2023,Asian SEA4_A1.2,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,02/02/2023
4B-23-07,Philippines,2023,Asian SEA4_A1.2,Concepcion Sur,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,07/02/2023
4B-23-11,Philippines,2023,Asian SEA4_A1.2,Jun Carlo,San Andres,Romblon,Southwestern Tagalog Region,12.53642104,122.0469478,Canis familiaris,07/02/2023
4B-23-12,Philippines,2023,unknown,Concepcion Norte,Santa Maria,Romblon,Southwestern Tagalog Region,12.40310216,122.0836566,Canis familiaris,14/02/2023
4B-23-13,Philippines,2023,Asian SEA4_A1.2,Rizal,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,09/02/2023
4B-23-15,Philippines,2023,Asian SEA4_A1.2,Anahao,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,16/02/2023
4B-23-16,Philippines,2023,Asian SEA4_A1.2,Dapawan,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,28/02/2023
4B-23-17,Philippines,2023,Asian SEA4_A1.2,Poctoy,Odiongan,Romblon,Southwestern Tagalog Region,12.39865996,122.0177701,Canis familiaris,01/03/2023
4B-23-19,Philippines,2023,Asian SEA4_A1.2,Mahabang Baybay,San Agustin,Romblon,Southwestern Tagalog Region,12.55403552,122.1124048,Canis familiaris,01/03/2023
