"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"R2-081","Asian_A1.1.1","China",1994,2015
"4B-22-13","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-20","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-16","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-35","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-40","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-17","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-21","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-31","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2922JG","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-28","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-30","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-423","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-421","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2922HM","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21622","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-114","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-126","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-29","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-07","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-222","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-05","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-15-163","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-142","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-221","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-259","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-211","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-20-01","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-089","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-135","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-066","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-210","Asian SEA4_A1.1.2","Philippines",2013,2019
"4A-22-171","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-18-114","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-196","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-217","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-177","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-18-001","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-20-33","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-18-251","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-19-123","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-106","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-136","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-310","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-412","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-528","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-21-35","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-22-15","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-2422","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-05-102","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-98-515","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-09-94","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-06-295","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-407","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-351","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-38","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-086","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-22","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-08-351","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-398","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-12-012","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-098","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-16-082","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-046","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-23-03","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-22-121","Asian SEA4_A1.1.2","Philippines",2013,2019
"4B-23-04","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-07-403","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-073","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-096","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-161","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-020","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-036","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-058","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-032","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-134","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-14-126","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-15-001","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-193","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-071","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-13-094","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-17-174","Asian SEA4_A1.1.2","Philippines",2013,2019
"4A-22-203","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-05-557","Asian SEA4_A1.1.2","Philippines",2013,2019
"4A-22-40","Asian SEA4_A1.1.2","Philippines",2013,2019
"4A-22-98","Asian SEA4_A1.1.2","Philippines",2013,2019
"H-23-011Sk_12","Asian SEA4_A1.1.2","Philippines",2013,2019
"Z-98-616","Asian SEA4_A1.1.1","Philippines",2012,2016
"4B-22-41","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-42","Asian SEA4_A1.2","Philippines",2012,2019
"Z-22-103","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-39","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-37","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-13","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-44","Asian SEA4_A1.2","Philippines",2012,2019
"4B-22-45","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-02","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-01","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-15","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-12","Asian SEA4_A1.2","Philippines",2012,2019
"4B-23-07","Asian SEA4_A1.2","Philippines",2012,2019
