ID,country,year,assignment
,,,
cD35,Nigeria,2021,Africa-2
,,,
cD483,Nigeria,2021,Africa-2
,,,
cD484,Nigeria,2021,Africa-2
,,,
cD810,Nigeria,2020,Africa-2
,,,
R51,Nigeria,2020,Africa-2
,,,
R960,Nigeria,2019,Africa-2
,,,
TB430,Nigeria,2020,Africa-2
,,,
TBS246,Nigeria,2021,Africa-2
,,,
WBS246,Nigeria,2021,Africa-2
,,,
WBS466,Nigeria,2020,Africa-2
,,,
CD275,Nigeria,2019,Africa-2
,,,
CD3,Nigeria,2019,Africa-2
,,,
CD8,Nigeria,2019,Africa-2
,,,
R1298,Nigeria,2021,Africa-2
,,,
R317,Nigeria,2021,Africa-2
,,,
R483,Nigeria,2021,Africa-2
,,,
R484,Nigeria,2021,Africa-2
,,,
R62,Nigeria,2020,Africa-2
,,,
R665,Nigeria,2020,Africa-2
,,,
R97,Nigeria,2020,Africa-2
,,,
cD1175,Nigeria,2021,Africa-2
,,,
R246,Nigeria,2021,Africa-2
,,,
TB246,Nigeria,2021,Africa-2
,,,
WB246,Nigeria,2021,Africa-2
,,,
cD31,Nigeria,2021,Africa-2
,,,
R31,Nigeria,2021,Africa-2
,,,
R1175,Nigeria,2021,Africa-2
,,,
cD466,Nigeria,2020,Africa-2
,,,
WB466,Nigeria,2020,Africa-2
,,,
R466,Nigeria,2020,Africa-2
,,,
WB1175,Nigeria,2021,Africa-2
,,,
WB809,Nigeria,2020,Africa-2
,,,
WBS1175,Nigeria,2021,Africa-2
,,,
cD809,Nigeria,2020,Africa-2
