"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"RV3245","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SD674","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB7118","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB7119","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB1637","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"RV3081","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"RV3197","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB7108","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB7111","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"SUB7145","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"RV3241","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"RV3248","Cosmopolitan_A1.2.2","c(""Kenya"", ""Tanzania"")",1996,2018
"RV3142","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"RV3227","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"RV2486","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2488","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD659","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD667","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SUB7130","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SUB7138","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SUB7146","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD670","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD668","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD679","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"SD680","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"SD645","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
