ID,n_N,n_gap,length,year,lineage,previous
4B-22-13,522,1,11410,2022,Asian SEA4_A1.1.1,SEA4
4B-22-16,522,0,11411,2022,Asian SEA4_A1.1.1,SEA4
4B-22-17,894,3,11036,2022,Asian SEA4_A1.1.1,SEA4
4B-22-20,710,1,11222,2022,Asian SEA4_A1.1.1,SEA4
4B-22-21,1053,0,10880,2022,Asian SEA4_A1.1.1,SEA4
4B-22-31,545,1,11387,2022,Asian SEA4_A1.1.1,SEA4
4B-22-35,526,1,11406,2022,Asian SEA4_A1.1.1,SEA4
4B-22-40,710,2,11221,2022,Asian SEA4_A1.1.1,SEA4
4B-2922JG,314,1,11618,2022,Asian SEA4_A1.1.1,SEA4
4A-22-104,1118,1,10814,2022,Asian SEA4_A1.2,SEA4
4A-22-40,1118,1,10814,2022,Asian SEA4_A1.2,SEA4
4A-22-98,1118,1,10814,2022,Asian SEA4_A1.2,SEA4
4B-22-41,633,2,11298,2022,Asian SEA4_A1.2,SEA4
4B-22-42,307,1,11625,2022,Asian SEA4_A1.2,SEA4
Z-22-103,304,3,11626,2022,Asian SEA4_A1.2,SEA4
4B-21-126,314,1,11618,2021,Asian SEA4_B1,SEA4
4B-21-29,315,1,11617,2021,Asian SEA4_B1,SEA4
4B-21-310,279,1,11653,2021,Asian SEA4_B1,SEA4
4B-21-35,280,1,11652,2021,Asian SEA4_B1,SEA4
4B-21-412,92,1,11840,2021,Asian SEA4_B1,SEA4
4B-21-421,315,1,11617,2021,Asian SEA4_B1,SEA4
4B-21-423,524,1,11408,2021,Asian SEA4_B1,SEA4
4B-21-528,318,1,11614,2021,Asian SEA4_B1,SEA4
4B-21622,502,1,11430,2021,Asian SEA4_B1,SEA4
4B-22-114,315,1,11617,2022,Asian SEA4_B1,SEA4
4B-22-15,94,1,11838,2022,Asian SEA4_B1,SEA4
4B-22-28,304,1,11628,2022,Asian SEA4_B1,SEA4
4B-22-30,3431,1,8501,2022,Asian SEA4_B1,SEA4
4B-2422,303,1,11629,2022,Asian SEA4_B1,SEA4
4B-2922HM,500,1,11432,2022,Asian SEA4_B1,SEA4
