"ID","n_N","n_gap","length","year","lineage","previous"
"RAB12001",0,63,11860,"2012","Cosmopolitan_A1.2","Cosmopolitan AF1b"
"RAB12002",0,0,11923,"2012","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RAB12005",0,0,11923,"2012","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RAB12039",0,0,11923,"2011","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RAB16024",0,2,11921,"2016","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RAB16026",0,0,11923,"2016","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RAB16027",0,9,11914,"2016","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RAB16028",0,0,11923,"2016","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RAB16029",0,1,11922,"2016","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV2486",0,0,11923,"2008","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"RV2488",0,0,11923,"2008","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"RV2932",0,0,11923,"2007","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV2934",0,27,11896,"2007","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV2937",0,11,11912,"2007","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV2946",0,56,11867,"2009","Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"RV2948",0,112,11811,"2009","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV2949",7,37,11879,"2009","Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"RV3081",0,0,11923,"2013","Cosmopolitan_J1","Cosmopolitan AF1b"
"RV3116",0,3,11920,"2012","Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"RV3142",0,9,11914,"2012","Cosmopolitan AF1b_B1","Cosmopolitan AF1b"
"RV3197",0,0,11923,"2014","Cosmopolitan_J1","Cosmopolitan AF1b"
"RV3198",0,0,11923,"2014","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3227",0,1,11922,"2015","Cosmopolitan AF1b_B1","Cosmopolitan AF1b"
"RV3234",0,2,11921,"2015","Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"RV3240",0,0,11923,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3241",7,63,11853,"2015","Cosmopolitan_A1.2.2","Cosmopolitan AF1b"
"RV3245",0,0,11923,"2015","Cosmopolitan_J1","Cosmopolitan AF1b"
"RV3247",0,0,11923,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3248",0,0,11923,"2015","Cosmopolitan_A1.2.2","Cosmopolitan AF1b"
"RV3249",0,2,11921,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3250",0,0,11923,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3252",0,9,11914,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3253",0,9,11914,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3254",11,153,11759,"2015","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"RV3256",0,0,11923,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"RV3262",0,0,11923,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SD575",0,0,11923,"2016","Cosmopolitan_A1.2","Cosmopolitan AF1b"
"SD577",54,0,11869,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SD620",17,57,11849,"2016","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD622",1,29,11893,"2016","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD635",66,0,11857,"2016","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD643",4,0,11919,"2017","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD644",75,0,11848,"2017","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD645",49,0,11874,"2016","Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"SD647",71,0,11852,"2016","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SD650",49,0,11874,"2016","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SD657",0,0,11923,"2017","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SD659",91,0,11832,"2017","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SD660",2,0,11921,"2017","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD662",28,0,11895,"2017","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD664",30,0,11893,"2017","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD667",29,0,11894,"2017","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SD668",0,0,11923,"2017","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SD669",63,0,11860,"2016","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SD670",55,0,11868,"2017","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SD674",45,0,11878,"2017","Cosmopolitan_J1","Cosmopolitan AF1b"
"SD678",0,0,11923,"2016","Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"SD679",33,0,11890,"2016","Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"SD680",0,0,11923,"2016","Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"SD703",3580,0,8343,"2017","Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"SUB1637",0,0,11923,"2009","Cosmopolitan_J1","Cosmopolitan AF1b"
"SUB7097",172,0,11751,"2016","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7100",13,0,11910,"-","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7101",31,0,11892,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7105",908,0,11015,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7108",84,0,11839,"2015","Cosmopolitan_J1","Cosmopolitan AF1b"
"SUB7109",186,0,11737,"2015","Cosmopolitan_K1","Cosmopolitan AF1b"
"SUB7111",71,0,11852,"2015","Cosmopolitan_J1","Cosmopolitan AF1b"
