"ID","n_N","n_gap","length","year","lineage","previous"
"R2-22-5302",340,3,11592,"2022","Asian SEA4_A1.3","Asian SEA4"
"R2-22-5814",1103,3,10829,"2022","Asian SEA4_A1.3","Asian SEA4"
"R2-22-84711",657,3,11275,"2022","Asian SEA4_A1.3","Asian SEA4"
"R2-22-8924",332,3,11600,"2022","Asian SEA4_A1.3","Asian SEA4"
"4B-22-13",345,3,11587,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-16",361,3,11571,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-17",338,3,11594,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-20",362,3,11570,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-21",375,3,11557,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-28",325,3,11607,"2022","Asian SEA4_C1","Asian SEA4"
"4B-22-30",460,3,11472,"2022","Asian SEA4_C1","Asian SEA4"
"4B-22-31",340,3,11592,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-35",339,3,11593,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-40",351,3,11581,"2022","Asian SEA4_B1.1.1","Asian SEA4"
"4B-22-41",649,3,11283,"2022","Asian SEA4_A1.2","Asian SEA4"
"4B-22-42",320,3,11612,"2022","Asian SEA4_A1.2","Asian SEA4"
"Z-98-285",731,3,11201,"1998","Asian SEA4_A1","Asian SEA4"
"Z-98-286",929,3,11003,"1998","Asian SEA4_A1","Asian SEA4"
"R10-688",363,3,11569,"2021","Asian SEA4_A1.2","Asian SEA4"
"R10-711",593,3,11339,"2021","Asian SEA4_A1.2","Asian SEA4"
"R10-824",447,3,11485,"2021","Asian SEA4_A1.2","Asian SEA4"
"R10-856",642,3,11290,"2021","Asian SEA4_A1.2","Asian SEA4"
"R10-989",586,3,11346,"2021","Asian SEA4_A1.2","Asian SEA4"
"R10-990",361,3,11571,"2021","Asian SEA4_A1.2","Asian SEA4"
"RADDL1-16-153",325,3,11607,"2016","Asian SEA4_A1.2","Asian SEA4"
"RADDL1-16-166",566,3,11366,"2016","Asian SEA4_A1.2","Asian SEA4"
"RADDL3-16-1008",343,3,11589,"2016","Asian SEA4_A1.2","Asian SEA4"
"RADDL3-16-521",329,3,11603,"2016","Asian SEA4_A1.2","Asian SEA4"
"Z-05-102",572,3,11360,"2005","Asian SEA4_A1.3","Asian SEA4"
"Z-05-191",810,3,11122,"2005","Asian SEA4_A1.2","Asian SEA4"
