ID,year,country,assignment
AB573762,2006,Japan,Asian SEA4
AB573763,2006,Japan,Asian SEA4
EU086200,1994,Philippines,Asian SEA4
EU086201,1994,Philippines,Asian SEA4
EU086202,1994,Philippines,Asian SEA4
EU086203,2000,Philippines,Asian SEA4
EU086204,2001,Philippines,Asian SEA4
EU086205,2004,Philippines,Asian SEA4
KF620487,2012,Taiwan,Asian SEA5
KF620488,2012,Taiwan,Asian SEA5
KF620489,2013,Taiwan,Asian SEA5
KP860149,2013,Taiwan,Asian SEA5
KP860153,2013,Taiwan,Asian SEA5
KX148259,1994,Philippines,Asian SEA4
KX148260,2004,Philippines,Asian SEA4
KX148261,1994,Philippines,Asian SEA4
KX148262,1994,Philippines,Asian SEA4
KX148263,1994,Philippines,Asian SEA4
LC550018,2019,Philippines,Asian SEA4
LC550019,2019,Philippines,Asian SEA4
LC550020,2019,Philippines,Asian SEA4
LC550021,2019,Philippines,Asian SEA4
LC550022,2019,Philippines,Asian SEA4
LC550023,2019,Philippines,Asian SEA4
LC550024,2019,Philippines,Asian SEA4
LC550025,2019,Philippines,Asian SEA4
LC550026,2019,Philippines,Asian SEA4
LC550027,2019,Philippines,Asian SEA4
LC571945,2006,Japan,Asian SEA4
LC571946,2020,-,Asian SEA4
MN726836,2013,Philippines,Asian SEA4
MN726837,2013,Philippines,Asian SEA4
MN726838,2013,Philippines,Asian SEA4
MN726839,2015,Philippines,Asian SEA4
MN726840,2015,Philippines,Asian SEA4
MN726841,2014,Philippines,Asian SEA4
MN726842,2019,Philippines,Asian SEA4
MN726843,2012,Philippines,Asian SEA4
MN726844,2014,Philippines,Asian SEA4
MN726845,2012,Philippines,Asian SEA4
MN726846,2015,Philippines,Asian SEA4
MN726847,2017,Philippines,Asian SEA4
MN726848,2016,Philippines,Asian SEA4
MN726850,2015,Philippines,Asian SEA4
MN726851,2014,Philippines,Asian SEA4
MN726852,2018,Philippines,Asian SEA4
MN726853,2012,Philippines,Asian SEA4
MN726854,2015,Philippines,Asian SEA4
MN726855,2016,Philippines,Asian SEA4
MN726856,2012,Philippines,Asian SEA4
MN726858,2016,Philippines,Asian SEA4
MN726859,2015,Philippines,Asian SEA4
MN726860,2018,Philippines,Asian SEA4
MN726861,2015,Philippines,Asian SEA4
MN726862,2013,Philippines,Asian SEA4
