"ID","year","country","assignment"
"AB573762",2006,"Japan","Asian SEA4"
"AB573763",2006,"Japan","Asian SEA4"
"EF564174",1956,"China","Asian SEA2a"
"EU086200",1994,"Philippines","Asian SEA4"
"EU086201",1994,"Philippines","Asian SEA4"
"EU086202",1994,"Philippines","Asian SEA4"
"EU086203",2000,"Philippines","Asian SEA4"
"EU086204",2001,"Philippines","Asian SEA4"
"EU086205",2004,"Philippines","Asian SEA4"
"EU643590",2006,"China","Asian SEA2a"
"FJ712195",2008,"China","Asian SEA2b"
"FJ712196",2008,"China","Asian SEA2b"
"FJ959397",1956,"China","Asian SEA2a"
"GU358653",1994,"China","Asian SEA2a"
"GU647092",2008,"China","Asian SEA2b"
"HQ317918",1956,"China","Asian SEA2a"
"JQ946087",2011,"China","Asian SEA2b"
"JQ970480",2008,"China","Asian SEA2a"
"JX088694",2012,"China","Asian SEA2a"
"KF620487",2012,"Taiwan","Asian SEA5"
"KF620488",2012,"Taiwan","Asian SEA5"
"KF620489",2013,"Taiwan","Asian SEA5"
"KF726852",2009,"China","Asian SEA2b"
"KJ466147",2014,"China","Asian SEA2a"
"KP860149",2013,"Taiwan","Asian SEA5"
"KP860153",2013,"Taiwan","Asian SEA5"
"KU946961",2009,"China","Asian SEA2a"
"KX148259",1994,"Philippines","Asian SEA4"
"KX148260",2004,"Philippines","Asian SEA4"
"KX148261",1994,"Philippines","Asian SEA4"
"KX148262",1994,"Philippines","Asian SEA4"
"KX148263",1994,"Philippines","Asian SEA4"
"KX148264",1994,"China","Asian SEA2a"
"KY451767",2015,"China","Asian SEA2a"
"LC550018",2019,"Philippines","Asian SEA4"
"LC550019",2019,"Philippines","Asian SEA4"
"LC550020",2019,"Philippines","Asian SEA4"
"LC550021",2019,"Philippines","Asian SEA4"
"LC550022",2019,"Philippines","Asian SEA4"
"LC550023",2019,"Philippines","Asian SEA4"
"LC550024",2019,"Philippines","Asian SEA4"
"LC550025",2019,"Philippines","Asian SEA4"
"LC550026",2019,"Philippines","Asian SEA4"
"LC550027",2019,"Philippines","Asian SEA4"
"LC571945",2006,"Japan","Asian SEA4"
"LC571946",2020,"-","Asian SEA4"
"MG201919",2011,"China","Asian SEA2a"
"MG201921",2012,"China","Asian SEA2a"
"MN726836",2013,"Philippines","Asian SEA4"
