"ID","length","close","lineage","cutoff","year","country"
"AB573763",0.0047649315,"AB573762","Asian SEA4_A1.1.2",0.0113503372,"2006","Japan"
"RADDL3-1045",0.0042986224,"RADDL1-16-166","Asian SEA4_A1.2.2",0.01385890344,"2015","Philippines"
"KF620487",0.005412282,"MN857171","Asian_A1",0.03171138952,"2012","Taiwan"
"KF620488",0.0194800934,"KF620489","Asian_A1",0.03171138952,"2012","Taiwan"
"R7-21-161",0.0219386371,"R9-010","Asian SEA4_A1",0.0523651601,"2021","Philippines"
