"ID","n_N","n_gap","length","year","lineage","previous"
"cD1175",860,7,11063,"2021","Africa-2_A1.1","Africa-2"
"cD31",1025,8,10897,"2021","Africa-2_B1","Africa-2"
"cD466",761,6,11163,"2020","Africa-2_B1","Africa-2"
"cD809",1099,7,10824,"2020","Africa-2_B1","Africa-2"
"R1175",1062,7,10861,"2021","Africa-2_B1","Africa-2"
"R246",1025,7,10898,"2021","Africa-2_B1","Africa-2"
"R31",1031,7,10892,"2021","Africa-2_B1","Africa-2"
"R466",958,6,10966,"2020","Africa-2_B1","Africa-2"
"TB246",1027,7,10896,"2021","Africa-2_B1","Africa-2"
"WB1175",684,6,11240,"2021","Africa-2_B1","Africa-2"
"WB246",663,7,11260,"2021","Africa-2_B1","Africa-2"
"WB466",1127,6,10797,"2020","Africa-2_B1","Africa-2"
"WB809",1380,7,10543,"2020","Africa-2_B1","Africa-2"
"WBS1175",2344,6,9580,"2021","Africa-2_B1","Africa-2"
"cD35",1921,7,10002,"2021","Africa-2_B1","Africa-2"
"cD483",7270,7,4653,"2021","Africa-2_B1","Africa-2"
"cD484",1601,7,10322,"2021","Africa-2_B1","Africa-2"
"cD810",1651,7,10272,"2020","Africa-2_B1","Africa-2"
"R51",2043,7,9880,"2020","Africa-2_B1","Africa-2"
"R960",1649,8,10273,"2019","Africa-2_B1","Africa-2"
"TB430",1483,7,10440,"2020","Africa-2_B1","Africa-2"
"TBS246",1928,7,9995,"2021","Africa-2_B1","Africa-2"
"WBS246",1038,7,10885,"2021","Africa-2_B1","Africa-2"
"WBS466",2302,7,9621,"2020","Africa-2_B1","Africa-2"
"CD275",1342,7,10581,"2019","Africa-2_B1","Africa-2"
"CD3",1029,9,10892,"2019","Africa-2_B1","Africa-2"
"CD8",1031,10,10889,"2019","Africa-2_B1","Africa-2"
"R1298",1030,8,10892,"2021","Africa-2_B1","Africa-2"
"R317",756,9,11165,"2021","Africa-2_B1","Africa-2"
"R483",1374,9,10547,"2021","Africa-2_B1","Africa-2"
"R484",1149,7,10774,"2021","Africa-2_B1","Africa-2"
"R62",1131,9,10790,"2020","Africa-2_B1","Africa-2"
"R665",1130,10,10790,"2020","Africa-2_B1","Africa-2"
"R97",1029,11,10890,"2020","Africa-2_B1","Africa-2"
