ID,n_N,n_gap,length,year,lineage,previous
4A-22-104,316,4,11617,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-37,321,7,11609,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-39,319,5,11613,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-41,646,5,11286,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-42,317,4,11616,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-44,318,5,11614,2022,Asian SEA4_A1.2,Asian SEA4
4B-22-45,323,5,11609,2022,Asian SEA4_A1.2,Asian SEA4
4B-23-01,317,4,11616,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-02,317,4,11616,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-05,319,5,11613,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-06,315,5,11617,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-07,317,4,11616,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-11,318,4,11615,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-13,315,4,11618,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-15,319,4,11614,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-16,333,5,11599,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-17,317,5,11615,2023,Asian SEA4_A1.2,Asian SEA4
4B-23-19,317,4,11616,2023,Asian SEA4_A1.2,Asian SEA4
Z-22-103,318,6,11613,2022,Asian SEA4_A1.2,Asian SEA4
4A-22-203,876,6,11055,2022,Asian SEA4_A1.2.1,Asian SEA4
4A-22-40,843,4,11090,2022,Asian SEA4_A1.2.1,Asian SEA4
4A-22-98,351,6,11580,2022,Asian SEA4_A1.2.1,Asian SEA4
4B-23-03,109,5,11823,2023,Asian SEA4_A1.2.1,Asian SEA4
4B-23-04,110,5,11822,2023,Asian SEA4_A1.2.1,Asian SEA4
H-23-011Sa11,8870,5,3062,2023,Asian SEA4_A1.2.1,Asian SEA4
H-23-011Sk12,1443,4,10490,2023,Asian SEA4_A1.2.1,Asian SEA4
Z-22-121,1378,5,10554,2022,Asian SEA4_A1.2.1,Asian SEA4
4A-22-171,316,5,11616,2022,Asian SEA4_B1,Asian SEA4
4B-22-13,556,4,11377,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-16,555,5,11377,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-17,976,7,10954,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-20,764,4,11169,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-21,1150,4,10783,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-31,580,5,11352,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-35,559,5,11373,2022,Asian SEA4_B1.1,Asian SEA4
4B-22-40,769,5,11163,2022,Asian SEA4_B1.1,Asian SEA4
4B-2922JG,349,5,11583,2022,Asian SEA4_B1.1,Asian SEA4
4B-21-126,349,5,11583,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-29,349,5,11583,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-310,317,4,11616,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-35,316,4,11617,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-412,109,4,11824,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-421,350,5,11582,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-423,554,5,11378,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21-528,358,4,11575,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-21622,559,5,11373,2021,Asian SEA4_B1.1.1,Asian SEA4
4B-22-114,349,5,11583,2022,Asian SEA4_B1.1.1,Asian SEA4
4B-22-15,109,4,11824,2022,Asian SEA4_B1.1.1,Asian SEA4
4B-22-28,314,5,11618,2022,Asian SEA4_B1.1.1,Asian SEA4
4B-22-30,3774,5,8158,2022,Asian SEA4_B1.1.1,Asian SEA4
4B-2422,315,4,11618,2022,Asian SEA4_B1.1.1,Asian SEA4
4B-2922HM,559,5,11373,2022,Asian SEA4_B1.1.1,Asian SEA4
