"ID","year","country","assignment"
"EU478492",2007,"Burkina Faso","Africa-2"
"EU478493",2007,"Burkina Faso","Africa-2"
"EU478494",2007,"Burkina Faso","Africa-2"
"EU478495",2007,"Burkina Faso","Africa-2"
"EU478496",2007,"Burkina Faso","Africa-2"
"EU478497",2007,"Burkina Faso","Africa-2"
"EU478498",2007,"Burkina Faso","Africa-2"
"EU478499",2007,"Burkina Faso","Africa-2"
"EU478500",2007,"Burkina Faso","Africa-2"
"EU478501",2007,"Burkina Faso","Africa-2"
"EU478502",2007,"Burkina Faso","Africa-2"
"EU478503",2007,"Burkina Faso","Africa-2"
"EU478504",2007,"Burkina Faso","Africa-2"
"EU478505",2007,"Burkina Faso","Africa-2"
"EU478506",2007,"Burkina Faso","Africa-2"
"EU478507",2007,"Burkina Faso","Africa-2"
"EU478508",2007,"Burkina Faso","Africa-2"
"EU478509",2007,"Burkina Faso","Africa-2"
"EU478510",2007,"Burkina Faso","Africa-2"
"EU478511",2007,"Burkina Faso","Africa-2"
"EU478512",2007,"Burkina Faso","Africa-2"
"EU478513",2007,"Burkina Faso","Africa-2"
"EU478514",2007,"Burkina Faso","Africa-2"
"EU478515",2007,"Burkina Faso","Africa-2"
"EU478516",2007,"Burkina Faso","Africa-2"
"EU478517",2007,"Burkina Faso","Africa-2"
"EU478518",2007,"Burkina Faso","Africa-2"
"EU478519",2007,"Burkina Faso","Africa-2"
"EU478520",2007,"Burkina Faso","Africa-2"
"EU478521",2007,"Burkina Faso","Africa-2"
"EU478522",2007,"Burkina Faso","Africa-2"
"EU478523",2007,"Burkina Faso","Africa-2"
"EU478524",2007,"Burkina Faso","Africa-2"
"EU514571",2007,"Niger","Africa-2"
"EU514572",2007,"Niger","Africa-2"
"EU514573",2007,"Niger","Africa-2"
"EU514574",2007,"Niger","Africa-2"
"EU718735",2006,"Chad","Africa-2"
"EU718736",2006,"Chad","Africa-2"
"EU718737",2006,"Chad","Africa-2"
"EU718738",2006,"Chad","Africa-2"
"EU718739",2006,"Chad","Africa-2"
"EU718740",2006,"Chad","Africa-2"
"EU718741",2006,"Chad","Africa-2"
"EU718742",2006,"Chad","Africa-2"
"EU718743",2006,"Chad","Africa-2"
"EU718744",2006,"Chad","Africa-2"
"EU718745",2006,"Chad","Africa-2"
"EU718746",2006,"Chad","Africa-2"
"EU718747",2006,"Chad","Africa-2"
"EU718748",2006,"Chad","Africa-2"
"EU718749",2006,"Chad","Africa-2"
"EU718750",2006,"Chad","Africa-2"
"EU718751",2006,"Chad","Africa-2"
"EU718752",2006,"Chad","Africa-2"
"EU718753",2006,"Chad","Africa-2"
"EU718754",2006,"Chad","Africa-2"
"EU718755",2006,"Chad","Africa-2"
"EU718756",2006,"Chad","Africa-2"
"EU718757",2006,"Chad","Africa-2"
"EU718758",2006,"Chad","Africa-2"
"EU718759",2006,"Chad","Africa-2"
"EU718760",2006,"Chad","Africa-2"
"EU718761",2006,"Chad","Africa-2"
"EU718762",2006,"Chad","Africa-2"
"EU718763",2006,"Chad","Africa-2"
"EU718764",2006,"Chad","Africa-2"
"EU718766",2006,"Chad","Africa-2"
"EU718767",2006,"Chad","Africa-2"
"EU718768",2006,"Chad","Africa-2"
"EU718769",2006,"Chad","Africa-2"
"EU718770",2006,"Chad","Africa-2"
"EU718771",2006,"Chad","Africa-2"
"EU718772",2006,"Chad","Africa-2"
"EU718773",2006,"Chad","Africa-2"
"EU718774",2006,"Chad","Africa-2"
"EU718775",2006,"Chad","Africa-2"
"EU718776",2006,"Chad","Africa-2"
"EU718777",2006,"Chad","Africa-2"
"EU718778",2006,"Chad","Africa-2"
"EU718779",2006,"Chad","Africa-2"
"EU718780",2006,"Chad","Africa-2"
"EU718781",2006,"Chad","Africa-2"
"EU718782",2006,"Chad","Africa-2"
"EU718783",2006,"Chad","Africa-2"
"EU718784",2006,"Chad","Africa-2"
"EU718785",2006,"Chad","Africa-2"
"EU718786",2006,"Chad","Africa-2"
"EU718787",2006,"Chad","Africa-2"
"EU827268",2007,"Burkina Faso","Africa-2"
"EU827269",2007,"Burkina Faso","Africa-2"
"EU827270",2007,"Burkina Faso","Africa-2"
"EU827271",2007,"Burkina Faso","Africa-2"
"EU827272",2007,"Burkina Faso","Africa-2"
"EU827273",2007,"Burkina Faso","Africa-2"
"EU827274",2007,"Burkina Faso","Africa-2"
"EU827275",2007,"Burkina Faso","Africa-2"
"EU853591",2008,"Gambia","Africa-2"
"EU853592",2005,"Senegal","Africa-2"
"EU853593",1986,"Guinea","Africa-2"
"EU853594",1993,"Guinea","Africa-2"
"EU853595",1997,"Sierra Leone","Africa-2"
"EU853596",2007,"Mali","Africa-2"
"EU853597",2007,"Mali","Africa-2"
"EU853598",2006,"Mali","Africa-2"
"EU853599",2007,"Mali","Africa-2"
"EU853600",2007,"Mali","Africa-2"
"EU853601",2006,"Mali","Africa-2"
"EU853602",2006,"Mali","Africa-2"
"EU853603",2007,"-","Africa-2"
"EU853604",2007,"Mali","Africa-2"
"EU853605",2006,"Mali","Africa-2"
"EU853622",2006,"Mali","Africa-2"
"EU853623",2007,"Mali","Africa-2"
"EU853624",1991,"Mauritania","Africa-2"
"EU853625",1995,"Senegal","Africa-2"
"EU853626",1997,"Senegal","Africa-2"
"EU853627",2002,"Senegal","Africa-2"
"EU853628",2007,"Senegal","Africa-2"
"EU853629",2006,"Senegal","Africa-2"
"EU853630",2006,"Senegal","Africa-2"
"EU853631",2005,"Senegal","Africa-2"
"EU853632",2005,"Senegal","Africa-2"
"EU853633",2004,"Senegal","Africa-2"
"EU853634",2004,"Senegal","Africa-2"
"EU853635",2006,"Senegal","Africa-2"
"EU853636",2006,"Senegal","Africa-2"
"EU853637",2003,"Senegal","Africa-2"
"EU853638",1995,"Senegal","Africa-2"
"EU853639",2004,"Senegal","Africa-2"
"EU853640",1996,"Senegal","Africa-2"
"EU853641",1991,"Senegal","Africa-2"
"EU853642",1991,"Mauritania","Africa-2"
"EU853643",2003,"Senegal","Africa-2"
"EU853644",2001,"Senegal","Africa-2"
"EU853645",1995,"Burkina Faso","Africa-2"
"EU853646",1990,"Niger","Africa-2"
"EU853647",1990,"Niger","Africa-2"
"EU853648",1990,"Niger","Africa-2"
"EU853649",1990,"Niger","Africa-2"
"EU853650",1987,"Niger","Africa-2"
"EU853651",2004,"Central African Republic","Africa-2"
"EU853652",1990,"Chad","Africa-2"
"EU853653",1996,"Chad","Africa-2"
"EU853654",1990,"Niger","Africa-2"
"EU853655",1987,"Chad","Africa-2"
"EU853656",1987,"Chad","Africa-2"
"EU853657",1987,"Chad","Africa-2"
"KF022176",2005,"Nigeria","Africa-2"
"KF022186",2005,"Nigeria","Africa-2"
"KR080521",2012,"Nigeria","Africa-2"
"KU564980",2012,"Chad","Africa-2"
"KU564981",2012,"Chad","Africa-2"
"KU564982",2012,"Chad","Africa-2"
"KU564983",2012,"Chad","Africa-2"
"KU564984",2012,"Chad","Africa-2"
"KU564985",2012,"Chad","Africa-2"
"KU564986",2012,"Chad","Africa-2"
"KU564987",2012,"Chad","Africa-2"
"KU564988",2012,"Chad","Africa-2"
"KU564989",2012,"Chad","Africa-2"
"KU564990",2012,"Chad","Africa-2"
"KU564991",2012,"Chad","Africa-2"
"KU564992",2012,"Chad","Africa-2"
"KU564993",2013,"Chad","Africa-2"
"KU564994",2013,"Chad","Africa-2"
"KU564995",2013,"Chad","Africa-2"
"KU564996",2013,"Chad","Africa-2"
"KU564997",2013,"Chad","Africa-2"
"KU564998",2013,"Chad","Africa-2"
"KU564999",2014,"Chad","Africa-2"
"KX148107",1986,"Benin","Africa-2"
"KX148218",2009,"Botswana","Africa-3"
"KX148219",2009,"Botswana","Africa-3"
"KX148220",2013,"South Africa","Africa-3"
"KX148221",2014,"South Africa","Africa-3"
"KX148222",2014,"South Africa","Africa-3"
"KX148223",2000,"South Africa","Africa-3"
"KX148229",1990,"Niger","Africa-2"
"KX148230",1995,"Burkina Faso","Africa-2"
"KX148231",1990,"Niger","Africa-2"
"KX148232",1992,"Côte d'Ivoire","Africa-2"
"KX148233",1992,"Côte d'Ivoire","Africa-2"
"KX148234",1986,"Burkina Faso","Africa-2"
"KX148235",2001,"Côte d'Ivoire","Africa-2"
"KX148236",1993,"Mauritania","Africa-2"
"KX148237",1993,"Mauritania","Africa-2"
"KX148238",1991,"Senegal","Africa-2"
"KX148239",1992,"Senegal","Africa-2"
"KX148244",1990,"Guinea","Africa-2"
"KY124532",2011,"Chad","Africa-2"
