"ID","n_N","n_gap","length","year","lineage","previous"
"barcode01",508,364,11424,"2016","Asian SEA4_A1.2.1","SEA4"
"barcode02",89,364,11843,"2015","Asian SEA4_A1.2","SEA4"
"barcode26",487,364,11445,"2012","Asian SEA4_A1.1.2","SEA4"
"barcode37",509,364,11423,"2012","Asian SEA4_A1.2.1","SEA4"
"barcode85",308,364,11624,"2013","Asian SEA4_A1.1.2","SEA4"
"barcode14",92,364,11840,"2018","Asian SEA4_A1.1.2","SEA4"
"barcode61",1784,363,10149,"2013","Asian SEA4_A1.1.2","SEA4"
"barcode13",1767,364,10165,"2014","Asian SEA4_A1.1.2","SEA4"
"barcode25",602,364,11330,"2014","Asian SEA4_A1","SEA4"
"barcode73",1324,364,10608,"2015","Asian SEA4_A1.2.1","SEA4"
"barcode49",326,364,11606,"2016","Asian SEA4_A1.2.1","SEA4"
"14",711,365,11220,"-","Asian SEA4_A1.2","SEA4"
"153",298,363,11635,"2018","Asian SEA4_A1.2","SEA4"
"19-30",524,364,11408,"-","Asian SEA4_A1.2","SEA4"
"19-40",105,364,11827,"-","Asian SEA4_A1.2","SEA4"
"COW",301,363,11632,"-","Asian SEA4_A1.1.2","SEA4"
"GOAT",1144,364,10788,"-","Asian SEA4_A1.1.2","SEA4"
"RADDL3-1045",302,364,11630,"2015","Asian SEA4_A1.2","SEA4"
"RADDL3-15-172",302,364,11630,"2015","Asian SEA4_A1.2.1","SEA4"
"RADDL3-16-468",537,364,11395,"2016","Asian SEA4_A1.2.1","SEA4"
"RADDL3-845",519,364,11413,"2015","Asian SEA4_A1.2.1","SEA4"
"Z-12-012",510,361,11425,"2012","Asian SEA4_A1.1.2","SEA4"
"Z-13-032",942,363,10991,"2013","Asian SEA4_A1.1.2","SEA4"
"Z-13-094",95,363,11838,"2013","Asian SEA4_A1.1.2","SEA4"
"Z-13-096",93,363,11840,"2013","Asian SEA4_A1.1.2","SEA4"
"Z-14-033",302,364,11630,"2014","Asian SEA4_A1.2.1","SEA4"
"Z-14-136",277,363,11656,"2014","Asian SEA4_A1.1.2","SEA4"
"Z-14-182",301,364,11631,"2014","Asian SEA4_A1.2.1","SEA4"
"Z-15-001",538,363,11395,"2015","Asian SEA4_A1.1.2","SEA4"
"Z-16-082",521,363,11412,"2016","Asian SEA4_A1.1.1","SEA4"
"Z-16-151",304,364,11628,"2016","Asian SEA4_A1.2.1","SEA4"
"Z-16-209",524,360,11412,"2016","Asian SEA4_A1.2","SEA4"
"Z-16-210",93,362,11841,"2016","Asian SEA4_A1.1.2","SEA4"
"Z-16-211",95,364,11837,"2016","Asian SEA4_A1.1.2","SEA4"
"4B-21-126",314,364,11618,"2021","Asian SEA4_B1","SEA4"
"4B-22-114",315,364,11617,"2022","Asian SEA4_B1","SEA4"
"4B-22-15",94,364,11838,"2022","Asian SEA4_B1","SEA4"
"R10-920",746,364,11186,"-","Asian SEA4_A1.2","SEA4"
"R11-21-61",108,365,11823,"2021","Asian SEA4_A1.2","SEA4"
"R11-21-63",308,360,11628,"2021","Asian SEA4_A1.2","SEA4"
"R1-21-148",304,364,11628,"2021","Asian SEA4_A1.2.1","SEA4"
"R5-21-132",513,364,11419,"2021","Asian SEA4_A1.2","SEA4"
"R6-21-4511",300,361,11635,"2021","Asian SEA4_A1.2.1","SEA4"
"R6-21-4600",309,364,11623,"2021","Asian SEA4_A1","SEA4"
"4B-21-29",315,364,11617,"2021","Asian SEA4_B1","SEA4"
"4B-21-310",279,364,11653,"2021","Asian SEA4_B1","SEA4"
"4B-21-35",280,364,11652,"2021","Asian SEA4_B1","SEA4"
"4B-21-412",92,364,11840,"2021","Asian SEA4_B1","SEA4"
"4B-21-421",315,364,11617,"2021","Asian SEA4_B1","SEA4"
"4B-21-423",524,364,11408,"2021","Asian SEA4_B1","SEA4"
"4B-21-528",318,364,11614,"2021","Asian SEA4_B1","SEA4"
"R3-21-0467",3693,364,8239,"-","Asian SEA4_A1.2.1","SEA4"
"R5-21-115",93,364,11839,"2021","Asian SEA4_A1.2","SEA4"
"R5-21-119",90,364,11842,"2021","Asian SEA4_A1.2.1","SEA4"
"R5-21-128",90,363,11843,"2021","Asian SEA4_A1.2","SEA4"
"4A-22-104",1118,364,10814,"2022","Asian SEA4_A1.2.1","SEA4"
"4A-22-40",1118,364,10814,"2022","Asian SEA4_A1.2.1","SEA4"
"4A-22-98",1118,364,10814,"2022","Asian SEA4_A1.2.1","SEA4"
"4B-21622",502,364,11430,"2022","Asian SEA4_B1","SEA4"
"4B-2422",303,364,11629,"2022","Asian SEA4_B1","SEA4"
"4B-2922HM",500,364,11432,"2022","Asian SEA4_B1","SEA4"
"4B-2922JG",314,364,11618,"2022","Asian SEA4_A1.1.1","SEA4"
"H22-01",1536,364,10396,"-","Asian SEA4_A1.1.1","SEA4"
"R10-714",1780,364,10152,"-","Asian SEA4_A1.2","SEA4"
"R10-907",743,363,11190,"-","Asian SEA4_A1.2","SEA4"
"R2-081",497,364,11435,"2020","Asian_A1.1.1","SEA4"
"R3-0483",1118,364,10814,"-","Asian SEA4_A1.2.1","SEA4"
"R3-731",303,364,11629,"-","Asian SEA4_A1.2.1","SEA4"
"R5-09",89,364,11843,"2022","Asian SEA4_A1.2.1","SEA4"
"R6-4342",984,365,10947,"2021","Asian SEA4_A1","SEA4"
"R6-4568",766,364,11166,"2021","Asian SEA4_A1","SEA4"
"R9-010",745,364,11187,"2020","Asian SEA4_A1.2","SEA4"
"R9-074",363,363,11570,"2021","Asian SEA4_A1.2","SEA4"
"R9-089",823,364,11109,"2021","Asian SEA4_A1.2","SEA4"
"R9-105",1852,362,10082,"2021","Asian SEA4_A1.2","SEA4"
